employee_id,month,gross_salary,net_salary,bonus,tax,insurance
E001,2024-09,45000,35000,0,4000,1000
E002,2024-09,50000,39200,5500,5200,1500
E003,2024-09,55000,43400,0,6400,2000
E004,2024-09,60000,47600,6500,7600,2500
E005,2024-09,65000,51800,0,8800,3000
E006,2024-09,70000,56000,7500,10000,1000
E007,2024-09,75000,60200,0,11200,1500
E008,2024-09,80000,64400,8500,12400,2000
E009,2024-09,85000,68600,0,13600,2500
E010,2024-09,90000,72800,9500,14800,3000
E011,2024-09,95000,77000,0,16000,1000
E012,2024-09,100000,81200,10500,17200,1500
E013,2024-09,105000,85400,0,18400,2000
E014,2024-09,110000,89600,11500,19600,2500
E015,2024-09,115000,93800,0,20800,3000
E016,2024-09,120000,98000,12500,22000,1000
E017,2024-09,125000,102200,0,23200,1500
E018,2024-09,130000,106400,13500,24400,2000
E019,2024-09,135000,110600,0,25600,2500
E020,2024-09,140000,114800,14500,26800,3000
E021,2024-09,145000,119000,0,28000,1000
E022,2024-09,150000,123200,15500,29200,1500
E023,2024-09,155000,127400,0,30400,2000
E024,2024-09,160000,131600,16500,31600,2500
E025,2024-09,165000,135800,0,32800,3000
E026,2024-09,170000,140000,17500,34000,1000
E027,2024-09,175000,144200,0,35200,1500
E028,2024-09,180000,148400,18500,36400,2000
E029,2024-09,185000,152600,0,37600,2500
E030,2024-09,190000,156800,19500,38800,3000
E031,2024-09,195000,161000,0,40000,1000
E032,2024-09,200000,165200,20500,41200,1500
E033,2024-09,205000,169400,0,42400,2000
E034,2024-09,210000,173600,21500,43600,2500
E035,2024-09,215000,177800,0,44800,3000
E036,2024-09,220000,182000,22500,46000,1000
E037,2024-09,225000,186200,0,47200,1500
E038,2024-09,230000,190400,23500,48400,2000
E039,2024-09,235000,194600,0,49600,2500
E040,2024-09,240000,198800,24500,50800,3000
E041,2024-09,245000,203000,0,52000,1000
E042,2024-09,250000,207200,25500,53200,1500
E043,2024-09,255000,211400,0,54400,2000
E044,2024-09,260000,215600,26500,55600,2500
E045,2024-09,265000,219800,0,56800,3000
E046,2024-09,270000,224000,27500,58000,1000
E047,2024-09,275000,228200,0,59200,1500
E048,2024-09,280000,232400,28500,60400,2000
E049,2024-09,285000,236600,0,61600,2500
E050,2024-09,290000,240800,29500,62800,3000
